"Aruba","Aruba","Aruba"
"Afghanistan","Afganistán","Afghanistan"
"Angola","Angola","Angola"
"Anguilla","Anguilla","Anguilla"
"Albania","Albania","Albanie"
"Aland Islands","Islas de Åland","Åland"
"Andorra","Andorra","Andorre"
"United Arab Emirates","Emiratos Árabes Unidos","Émirats arabes unis"
"Argentina","Argentina","Argentine"
"Armenia","Armenia","Arménie"
"American Samoa","Samoa Americana","Samoa américaines"
"Antarctica","Antártida","Antarctique"
"Ashmore and Cartier Islands","Islas Ashmore y Cartier","Îles Ashmore-et-Cartier"
"French Southern and Antarctic Lands","Tierras Australes y Antárticas Francesas","Terres australes et antarctiques françaises"
"Antigua and Barbuda","Antigua y Barbuda","Antigua-et-Barbuda"
"Australia","Australia","Australie"
"Austria","Austria","Autriche"
"Azerbaijan","Azerbaiyán","Azerbaïdjan"
"Burundi","Burundi","Burundi"
"Belgium","Bélgica","Belgique"
"Benin","Benin","Bénin"
"Burkina Faso","Burkina Faso","Burkina Faso"
"Bangladesh","Bangladesh","Bangladesh"
"Bulgaria","Bulgaria","Bulgarie"
"Bahrain","Bahrein","Bahreïn"
"Bahamas","Bahamas","Bahamas"
"Bosnia and Herzegovina","Bosnia y Herzegovina","Bosnie-Herzégovine"
"Saint Barthélemy","San Bartolomé","Saint-Barthélemy"
"Belarus","Belarús","Bélarus"
"Belize","Belice","Belize"
"Bermuda","Bermudas","Bermudes"
"Bolivia","Bolivia","Bolivie"
"Brazil","Brasil","Brésil"
"Barbados","Barbados","Barbade"
"Brunei Darussalam","Brunei Darussalam","Brunéi Darussalam"
"Bhutan","Bhután","Bhoutan"
"Botswana","Botswana","Botswana"
"Central African Republic","República Centroafricana","République centrafricaine"
"Canada","Canadá","Canada"
"Switzerland","Suiza","Suisse"
"Chile","Chile","Chili"
"China","China","Chine"
"Côte d'Ivoire","Côte d'Ivoire","Côte d'Ivoire"
"Cameroon","Camerún","Cameroun"
"Democratic Republic of the Congo","República Democrática del Congo","République démocratique du Congo"
"Congo","Congo","Congo"
"Cook Islands","Islas Cook","Îles Cook"
"Colombia","Colombia","Colombie"
"Comoros","Comoras","Comores"
"Cape Verde","Cabo Verde","Cap-Vert"
"Costa Rica","Costa Rica","Costa Rica"
"Cuba","Cuba","Cuba"
"Curaþao","Curaçao","Curaþao"
"Cayman Islands","Islas Caimán","Îles Caïmanes"
"Northern Cyprus","República Turca del Norte de Chipre","Chypre du Nord"
"Cyprus","Chipre","Chypre"
"Czech Republic","República Checa","République tchèque"
"Germany","Alemania","Allemagne"
"Djibouti","Djibouti","Djibouti"
"Dominica","Dominica","Dominique"
"Denmark","Dinamarca","Danemark"
"Dominican Republic","República Dominicana","République dominicaine"
"Algeria","Argelia","Algérie"
"Ecuador","Ecuador","Équateur"
"Egypt","Egipto","Égypte"
"Eritrea","Eritrea","Érythrée"
"Spain","España","Espagne"
"Estonia","Estonia","Estonie"
"Ethiopia","Etiopía","Éthiopie"
"Finland","Finlandia","Finlande"
"Fiji","Fiji","Fidji"
"Falkland Islands","Islas Malvinas","Îles Malvinas"
"France","Francia","France"
"Faroe Islands","Islas Feroe","Îles Féroé"
"Micronesia","Micronesia","Micronésie"
"Gabon","Gabón","Gabon"
"United Kingdom","Reino Unido","Royaume-Uni"
"Georgia","Georgia","Géorgie"
"Guernsey","Guernsey","Guernesey"
"Ghana","Ghana","Ghana"
"Gibraltar","Gibraltar","Gibraltar"
"Guinea","Guinea","Guinée"
"Guadeloupe","Guadalupe","Guadeloupe"
"Gambia","Gambia","Gambie"
"Guinea-Bissau","Guinea-Bissau","Guinée-Bissau"
"Equatorial Guinea","Guinea Ecuatorial","Guinée équatoriale"
"Greece","Grecia","Grèce"
"Grenada","Granada","Grenade"
"Greenland","Groenlandia","Groenland"
"Guatemala","Guatemala","Guatemala"
"Guam","Guayana francesa","Guyane française"
"French Guiana","Guam","Guam"
"Guyana","Guyana","Guyana"
"Hong Kong S.A.R.","Hong Kong","Hong Kong"
"Heard Island and McDonald Islands","Islas Heard y McDonald","Îles Heard-et-MacDonald"
"Honduras","Honduras","Honduras"
"Croatia","Croacia","Croatie"
"Haiti","Haití","Haïti"
"Hungary","Hungría","Hongrie"
"Indonesia","Indonesia","Indonésie"
"Isle of Man","Isla de Man","Île de Man"
"India","India","Inde"
"Indian Ocean Territories","Territorio del Océano Índico","Territoire de l'océan Indien"
"British Indian Ocean Territory","Territorio Británico del Océano Índico","Territoire britannique de l'océan Indien"
"Ireland","Irlanda","Irlande"
"Iran","Irán","Iran"
"Iraq","el Iraq","Iraq"
"Iceland","Islandia","Islande"
"Israel","Israel","Israël"
"Italy","Italia","Italie"
"Jamaica","Jamaica","Jamaïque"
"Jersey","Jersey","Jersey"
"Jordan","Jordania","Jordanie"
"Japan","Japón","Japon"
"Siachen Glacier","Glaciar de Siachen","Glacier de Siachen"
"Kazakhstan","Kazajstán","Kazakhstan"
"Kenya","Kenya","Kenya"
"Kyrgyzstan","Kirguistán","Kirghizistan"
"Cambodia","Camboya","Cambodge"
"Kiribati","Kiribati","Kiribati"
"Saint Kitts and Nevis","Saint Kitts y Nevis","Saint-Kitts-et-Nevis"
"Republic of Korea","República de Corea","République de Corée"
"Kosovo","Kósovo","Kosovo"
"Kuwait","Kuwait","Koweït"
"Lao","Lao","Lao"
"Lebanon","Líbano","Liban"
"Liberia","Liberia","Libéria"
"Libya","Libia","Libye"
"Saint Lucia","Santa Lucía","Sainte-Lucie"
"Liechtenstein","Liechtenstein","Liechtenstein"
"Sri Lanka","Sri Lanka","Sri Lanka"
"Lesotho","Lesotho","Lesotho"
"Lithuania","Lituania","Lituanie"
"Luxembourg","Luxemburgo","Luxembourg"
"Latvia","Letonia","Lettonie"
"Macao S.A.R","Macao","Macao"
"Saint-Martin","Saint-Martin","Saint-Martin"
"Morocco","Marruecos","Maroc"
"Monaco","Mónaco","Monaco"
"Moldova","Moldova","Moldova"
"Madagascar","Madagascar","Madagascar"
"Maldives","Maldivas","Maldives"
"Mexico","México","Mexique"
"Marshall Islands","Islas Marshall","Îles Marshall"
"Macedonia","Macedonia","Macédoine"
"Mali","Malí","Mali"
"Malta","Malta","Malte"
"Myanmar","Myanmar","Myanmar"
"Montenegro","Montenegro","Monténégro"
"Mongolia","Mongolia","Mongolie"
"Northern Mariana Islands","Islas Marianas del Norte","Îles Mariannes du Nord"
